Age,Occupation,Risk Tolerance,Investment Goals,Income Level,Address,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Loan Purpose,Employment Status,Loan Term (Months),Interest Rate,Loan Status,Transaction Description
58,Student,Low,Wealth Preservation,$76028.08,"283 Zachary Place
West Amandahaven, CA 62258",$100000.00,$24438.72,$25221.00,$23447.97,$1341.28,$12408.01,$50000.00,Home Improvement,Employed,12,13.45%,pending,"Travel transaction of $1842.80 at Kelley, Walker and Cruz"
55,Teacher,High,Income Generation,$74930.63,"563 Brian Views Suite 316
Morrisfort, NJ 14491",$21353.08,$7866.97,$5754.07,$2435.22,$466.95,$7190.31,$39344.48,Debt Consolidation,Employed,24,8.61%,approved,Purchase at Stein-Hampton for $4269.57 on 2024-06-17
43,Student,Medium,Wealth Preservation,$127239.69,"26992 Daugherty Alley Suite 270
South Melissa, NE 50548",$100000.00,$29940.88,$17100.51,$14311.91,$3466.26,$13662.44,$50000.00,Medical Expenses,Employed,24,13.28%,rejected,Purchase at Waller Group for $1505.01 on 2024-04-06
72,Artist,Low,Growth,$65619.72,"156 Laura Station Suite 353
North Angelastad, TX 49082",$13431.80,$6438.15,$1428.14,$3163.56,$351.37,$1300.85,$14123.59,Home Improvement,Retired,24,10.29%,rejected,"$1187.95 spent at Jackson, Gonzalez and Wood on 2024-02-19"
48,Teacher,Low,Speculation,$71754.68,"45104 Devon Overpass Apt. 231
Molinaborough, NY 95529",$92990.75,$39774.41,$19811.27,$18023.72,$822.83,$15532.91,$50000.00,Auto Purchase,Self-Employed,12,9.62%,approved,Purchase at Patton Inc for $4981.80 on 2024-06-18
51,Artist,High,Income Generation,$60048.60,"3257 Stephen Gateway Suite 322
Lake Carla, MS 04892",$20967.96,$5400.81,$3480.45,$2969.78,$150.46,$6044.85,$37695.44,Home Improvement,Retired,48,10.20%,approved,Purchase at Castaneda PLC for $3792.10 on 2024-02-21
44,Doctor,Medium,Speculation,$129083.41,"PSC 8035, Box 9242
APO AE 59841",$100000.00,$49357.99,$21066.69,$17181.14,$2401.37,$18216.63,$50000.00,Debt Consolidation,Retired,48,11.57%,rejected,"$783.02 spent at Watkins, Douglas and Garcia on 2024-03-18"
55,Doctor,High,Income Generation,$73681.43,"33392 Paul Squares
New Erin, AS 14006",$67764.71,$17228.32,$16593.52,$5748.01,$987.50,$3979.55,$34778.02,Medical Expenses,Unemployed,60,12.76%,pending,Payment of $1535.81 at Fisher LLC
55,Student,Medium,Wealth Preservation,$56734.83,"423 Jennifer Union Apt. 999
East Markton, OR 09562",$21598.01,$8208.81,$1274.33,$4141.89,$524.58,$2947.71,$50000.00,Home Improvement,Employed,36,14.09%,pending,"Fraudulent activity detected at May, Rios and Evans for $4561.56"
45,Doctor,Medium,Income Generation,$44400.40,"946 Freeman Divide Suite 912
Andersonside, MA 19455",$37688.89,$6876.41,$8966.93,$7109.95,$249.38,$4334.09,$40850.93,Auto Purchase,Self-Employed,36,9.97%,approved,Payment of $876.93 at Underwood-Taylor
40,Artist,Low,Wealth Preservation,$55212.83,"6375 Wallace Lakes
Patriciaside, UT 07618",$27088.14,$9474.07,$2475.60,$2662.34,$118.34,$1799.30,$26938.68,Medical Expenses,Employed,12,10.16%,pending,$1416.69 debited for Nguyen-Byrd purchase
50,Student,High,Wealth Preservation,$10231.71,"11439 Newton Walks Apt. 991
East Nicholas, WY 64343",$1767.12,$328.57,$227.02,$363.64,$79.46,$147.98,$8823.70,Debt Consolidation,Employed,60,5.08%,approved,"Transaction at Snyder, Keller and Smith for $1837.08"
63,Teacher,Medium,Wealth Preservation,$115946.68,"547 Robert Fields
East Amy, NM 57800",$63921.81,$20308.09,$17198.33,$8382.34,$253.82,$12510.31,$50000.00,Auto Purchase,Retired,36,12.66%,pending,Purchase at Williams PLC for $4397.31 on 2024-05-17
84,Teacher,High,Income Generation,$56566.93,"28443 Garcia Corners Apt. 030
Port Joelchester, ME 42183",$56746.89,$26963.57,$15297.11,$7541.38,$634.71,$16934.52,$17085.35,Debt Consolidation,Self-Employed,36,10.34%,rejected,$4124.17 spent at Young LLC on 2024-05-25
78,Lawyer,High,Speculation,$93145.44,"8296 Benjamin Highway Suite 465
Port Michaelfort, MT 34460",$100000.00,$18584.21,$27400.35,$13971.78,$2602.33,$5196.13,$43925.09,Small Business,Retired,48,14.18%,pending,Purchase at Kim-Santiago for $2596.31 on 2024-05-08
74,Student,High,Wealth Preservation,$28306.48,"PSC 1479, Box 1885
APO AA 82833",$40169.47,$14266.73,$8401.63,$5438.20,$375.54,$7673.93,$5000.00,Medical Expenses,Unemployed,24,4.91%,approved,Payment of $3125.93 at Bennett-Russell
59,Retiree,High,Growth,$42161.91,"6922 Rebecca Plaza Apt. 459
Millerstad, PA 26567",$20435.33,$6985.05,$2546.35,$2025.50,$305.11,$5828.86,$5000.00,Auto Purchase,Employed,12,5.52%,approved,"Purchase at Anderson, Bryant and Figueroa for $313.94 on 2024-07-24"
19,Lawyer,Medium,Wealth Preservation,$102623.68,"5322 Rivera Harbors
Johnsonfurt, MN 95772",$49016.27,$21133.42,$12077.24,$10626.38,$2102.46,$7189.87,$50000.00,Medical Expenses,Employed,48,12.84%,pending,Suspicious purchase of $461.83 at Fisher-Roman
74,Teacher,High,Income Generation,$118698.11,"30406 Brown Alley Apt. 528
Melissaview, AS 04546",$100000.00,$21156.31,$11889.87,$17199.58,$1471.74,$9295.49,$50000.00,Auto Purchase,Retired,48,11.43%,approved,Purchase at Cuevas and Sons for $3491.00 on 2024-02-09
81,Artist,Medium,Speculation,$134346.17,"490 Hester Turnpike Apt. 656
Elizabethland, SD 12311",$97906.24,$29034.28,$10948.48,$11911.62,$894.18,$11857.03,$50000.00,Medical Expenses,Unemployed,12,9.76%,approved,$3665.17 spent at Reyes-Lopez on 2024-06-24
44,Teacher,Medium,Growth,$57425.55,"236 Thompson Oval Apt. 562
Quinnborough, PW 11453",$60762.89,$27215.05,$15560.37,$14485.90,$3165.01,$8156.29,$50000.00,Small Business,Unemployed,60,11.24%,approved,Suspicious purchase of $323.43 at Lewis PLC
75,Teacher,Low,Wealth Preservation,$93157.97,"72746 Kimberly Hill
Nelsontown, AR 73430",$100000.00,$45650.64,$20353.01,$24825.67,$4530.72,$8484.57,$50000.00,Auto Purchase,Retired,48,13.48%,pending,Suspicious purchase of $4171.89 at Kelly and Sons
77,Artist,Low,Wealth Preservation,$109829.37,"66888 Jones Lodge
Websterfort, OR 13346",$75408.86,$14334.07,$13105.08,$17450.06,$2142.98,$5427.86,$50000.00,Auto Purchase,Retired,24,11.11%,approved,Payment of $1693.66 at Martin-Cole
50,Artist,Medium,Income Generation,$55531.89,"33776 Beverly Station
Lake Debbie, CT 51999",$69712.00,$20133.89,$8244.60,$11758.56,$3387.92,$7653.06,$15164.19,Medical Expenses,Unemployed,48,10.36%,pending,Payment of $4641.86 at Walker-Nelson
70,Retiree,High,Speculation,$26497.39,"3316 Joseph Cliffs
Murphyburgh, LA 08914",$29208.11,$10934.78,$4911.79,$6301.42,$1709.53,$2821.90,$21335.52,Debt Consolidation,Unemployed,48,8.93%,pending,Travel transaction of $849.15 at Good PLC
72,Student,High,Wealth Preservation,$127684.55,"06918 Barbara Coves Apt. 889
Marshallstad, TN 94118",$100000.00,$16878.96,$27880.38,$11479.41,$2399.12,$8215.87,$26372.68,Small Business,Unemployed,12,11.60%,rejected,Large amount of $199.62 spent at Wilson-Campbell
43,Lawyer,Medium,Speculation,$147465.76,"72739 Charles Ferry Suite 166
Williamsville, AZ 70448",$100000.00,$25880.00,$28145.02,$6236.42,$456.55,$15020.12,$50000.00,Medical Expenses,Retired,48,12.01%,rejected,Purchase at Jimenez Group for $3107.56 on 2024-06-16
26,Doctor,Medium,Income Generation,$71456.76,"560 Ryan Mountains
East Michelle, TN 63195",$78572.70,$30207.89,$9517.87,$17681.15,$3863.47,$10575.94,$50000.00,Debt Consolidation,Employed,60,9.63%,approved,Groceries transaction of $3174.42 at Meyer-Allen
65,Teacher,Low,Income Generation,$77040.24,"529 Page Views Apt. 730
Burkeside, PR 23064",$100000.00,$36529.52,$29796.95,$10573.56,$512.17,$7259.26,$42746.22,Home Improvement,Unemployed,24,8.51%,approved,Payment of $2064.26 at Bowman PLC
65,Artist,Low,Speculation,$30636.90,"10332 James Hills Suite 669
Johnfurt, NY 28936",$58388.65,$11397.54,$8059.29,$11687.53,$1288.46,$10071.98,$16771.10,Auto Purchase,Employed,24,6.83%,approved,Purchase at Mcclain PLC for $3472.50 on 2024-07-13
36,Teacher,Low,Speculation,$42556.08,"PSC 1609, Box 0399
APO AA 19167",$36631.35,$6560.09,$5000.45,$2916.59,$506.07,$6816.08,$25546.28,Medical Expenses,Self-Employed,48,9.34%,rejected,$2091.01 debited for Hendricks Group purchase
51,Student,Low,Income Generation,$62006.10,"88422 Phillips Coves Suite 692
Williamsonhaven, VI 62217",$63205.81,$11961.17,$18032.60,$13981.20,$4055.69,$9787.77,$37418.38,Medical Expenses,Retired,24,9.58%,approved,$3922.65 debited for Mitchell-Pennington purchase
74,Doctor,Low,Income Generation,$73188.27,"47222 Wade Well Suite 850
South Leslieburgh, MS 42704",$22737.62,$5712.06,$5342.93,$5076.93,$921.58,$2385.28,$50000.00,Debt Consolidation,Retired,60,10.89%,approved,Purchase at Robinson-Williams for $846.43 on 2024-07-04
27,Teacher,High,Growth,$90098.18,"04750 Church Field
Debraview, AL 87848",$61701.26,$24932.29,$7644.54,$12507.26,$1084.40,$9686.01,$50000.00,Medical Expenses,Retired,12,14.26%,pending,"Clothing transaction of $4474.22 at Wood, Wilson and Jackson"
81,Artist,Medium,Speculation,$83121.51,"1495 Allen Square Suite 450
Bradleyfurt, WV 22040",$30721.81,$8522.49,$3311.33,$7402.98,$1102.82,$2702.94,$14586.89,Auto Purchase,Retired,12,5.46%,approved,"$237.76 spent at Armstrong, Hubbard and Armstrong on 2024-06-26"
56,Retiree,Medium,Speculation,$64072.56,"4481 Reynolds Loaf Apt. 971
North Scott, OK 18578",$84851.53,$35846.05,$20625.52,$8571.87,$1501.06,$14430.03,$50000.00,Small Business,Retired,48,11.13%,approved,"Transaction at Tran, Williams and Tyler for $786.53"
72,Student,Low,Income Generation,$63460.44,"987 Cruz Mountains
Davidchester, WI 79590",$22428.42,$10953.90,$4585.35,$5589.41,$164.61,$3378.46,$50000.00,Auto Purchase,Employed,48,9.09%,approved,Transaction at Ford-Roberts for $3952.03
70,Retiree,Low,Income Generation,$6841.57,"30841 Gonzales River
Mitchellchester, CT 52262",$6636.06,$1272.88,$880.59,$1611.48,$393.93,$1026.03,$5000.00,Small Business,Employed,24,9.61%,pending,Travel transaction of $4326.66 at Guzman Inc
75,Doctor,Low,Income Generation,$142980.53,"96617 Jesse Island Apt. 235
East Lynnside, MO 04555",$97939.74,$33129.98,$5754.55,$20573.51,$5890.45,$10532.59,$28856.88,Medical Expenses,Self-Employed,36,11.71%,rejected,Clothing transaction of $1262.30 at Mcdonald Inc
47,Retiree,High,Growth,$76333.84,"769 Vincent Creek Apt. 783
Brendastad, AZ 22892",$100000.00,$15290.21,$25583.89,$6730.94,$1710.08,$27720.39,$27028.76,Medical Expenses,Self-Employed,24,8.89%,approved,Suspicious purchase of $1619.53 at Roberts-Clark
85,Lawyer,Low,Growth,$44899.78,"64641 Brian Grove Suite 312
Lake Rachelbury, KY 33985",$22664.13,$5826.92,$6050.63,$4122.14,$238.79,$1408.48,$34980.14,Home Improvement,Retired,12,12.15%,pending,"Electronics transaction of $3335.39 at Torres, Bennett and Garner"
25,Retiree,High,Speculation,$64551.79,"0784 Jones Cape
West Lisa, NH 50622",$70149.60,$11916.04,$11682.10,$10863.65,$2089.79,$23653.30,$25209.75,Medical Expenses,Retired,48,10.48%,pending,Payment of $2473.90 at Patterson-Wells
51,Retiree,Low,Wealth Preservation,$73213.65,"5686 Stout Oval
West Crystalstad, CO 04100",$46206.55,$9611.63,$5440.59,$4405.71,$214.06,$9028.32,$50000.00,Small Business,Employed,60,13.29%,pending,Purchase at King Inc for $2913.47 on 2024-05-19
64,Doctor,Low,Wealth Preservation,$3103.95,"22613 Ryan Ford
East Virginia, FM 84514",$2397.73,$830.94,$602.54,$328.53,$13.19,$215.14,$5000.00,Auto Purchase,Self-Employed,48,6.98%,approved,Purchase at King-Thomas for $3183.58 on 2024-04-11
72,Lawyer,High,Income Generation,$56014.59,"65130 Barr Estates Suite 408
Taylorbury, TX 14101",$60559.41,$22682.40,$9175.67,$7237.95,$341.02,$17885.70,$50000.00,Home Improvement,Employed,60,9.26%,approved,Payment of $805.91 at Nelson-Hayes
57,Lawyer,Medium,Wealth Preservation,$134709.96,"83445 Cummings Tunnel Apt. 268
Christophermouth, IN 86085",$100000.00,$39208.95,$16368.25,$17447.28,$4586.19,$5531.26,$50000.00,Medical Expenses,Self-Employed,60,9.76%,approved,Payment of $2764.92 at Strickland Ltd
62,Lawyer,Medium,Wealth Preservation,$45176.55,"82770 Paul Mountain
Jenniferberg, SC 64807",$46922.49,$9543.28,$10436.43,$3441.74,$525.70,$7212.01,$10674.70,Debt Consolidation,Employed,12,8.37%,pending,Purchase at Barber-Richardson for $1028.05 on 2024-04-15
70,Retiree,Low,Income Generation,$32111.78,"30730 Andrew Fords
Ramosfurt, NH 45782",$56683.63,$14029.84,$8813.02,$9634.28,$171.36,$7326.21,$27587.79,Debt Consolidation,Employed,48,9.08%,approved,"Fraudulent activity detected at Hooper, Watkins and Cortez for $2060.07"
67,Student,Medium,Speculation,$28761.11,"730 Cheryl Ports
Johnsonburgh, AR 96456",$10448.43,$2736.71,$2402.01,$1923.56,$398.56,$907.85,$29097.04,Medical Expenses,Self-Employed,60,7.92%,approved,$2558.04 debited for Campbell Inc purchase
82,Retiree,Medium,Speculation,$103966.28,"7184 Devin Forges Suite 990
Lake Michaelview, RI 05801",$100000.00,$10131.27,$16976.46,$12966.51,$3122.88,$5305.00,$50000.00,Medical Expenses,Employed,12,13.70%,pending,Transaction at Murphy-Beltran for $37.28
35,Student,High,Income Generation,$41584.98,"94110 Erin Center
Smithbury, PR 78431",$18790.48,$5359.73,$1984.61,$1074.15,$122.57,$5311.97,$27873.57,Auto Purchase,Self-Employed,48,9.58%,pending,Transaction at Hunter-Rodgers for $1049.99
83,Teacher,High,Income Generation,$45843.76,"PSC 8158, Box 3871
APO AA 95807",$39196.77,$19472.38,$4709.28,$8981.61,$2652.91,$2353.98,$29863.48,Debt Consolidation,Unemployed,12,7.64%,approved,Groceries transaction of $3156.43 at Lopez-Hooper
47,Teacher,Medium,Growth,$70181.46,"00170 Courtney Divide
Curryview, IN 70916",$100000.00,$32004.64,$13776.65,$10413.29,$384.27,$12466.46,$50000.00,Medical Expenses,Employed,24,14.44%,rejected,$4285.82 debited for Zuniga Group purchase
35,Retiree,High,Growth,$96006.67,"34969 Sara Ridge
North Amberchester, AK 84305",$100000.00,$39284.88,$13077.34,$24399.68,$2106.29,$25668.08,$50000.00,Small Business,Retired,24,13.81%,rejected,Transaction at Matthews-Avery for $1383.54
66,Teacher,High,Income Generation,$71289.28,"978 Richardson Station
New Christinefort, UT 03428",$67683.14,$31784.21,$16283.42,$11934.08,$1134.44,$15904.56,$38532.62,Medical Expenses,Retired,12,12.85%,rejected,"Purchase at Phelps, Owen and Montoya for $1839.83 on 2024-05-19"
79,Doctor,Medium,Income Generation,$71340.49,"460 Theresa Green
Bassshire, MO 74423",$100000.00,$32772.46,$9196.24,$15727.69,$2603.30,$15307.50,$50000.00,Home Improvement,Unemployed,12,13.13%,pending,"Electronics transaction of $2830.85 at Shaw, Dalton and Rodriguez"
52,Engineer,High,Income Generation,$63221.06,"Unit 1215 Box 1672
DPO AP 40995",$80218.03,$20073.56,$10477.82,$17795.04,$3022.65,$18662.95,$50000.00,Debt Consolidation,Self-Employed,36,10.61%,approved,"Transaction at Thomas, Leblanc and Ball for $2945.58"
71,Artist,High,Income Generation,$118021.98,"Unit 1394 Box 3804
DPO AA 78479",$100000.00,$27682.53,$27753.57,$10802.73,$2945.57,$5037.29,$50000.00,Small Business,Self-Employed,12,14.47%,rejected,Payment of $316.23 at King-Mitchell
55,Lawyer,Low,Growth,$101392.23,"USS Hodges
FPO AA 59679",$100000.00,$10332.45,$6897.53,$14978.10,$2280.61,$15176.10,$18898.34,Small Business,Retired,12,9.43%,pending,$3862.76 debited for Snyder LLC purchase
53,Retiree,Medium,Speculation,$74719.01,"0275 Kimberly Viaduct Suite 894
North Ashley, VA 39055",$63750.73,$11019.24,$9483.05,$4639.01,$99.45,$4472.65,$50000.00,Home Improvement,Employed,36,11.75%,pending,"Purchase at Duran, Lowe and Sanchez for $3346.42 on 2024-06-19"
31,Artist,Medium,Income Generation,$88082.92,"27992 Curtis Street Suite 199
Courtneyshire, FM 34427",$100000.00,$40209.03,$11675.36,$11488.21,$1353.09,$5028.23,$20400.38,Small Business,Retired,60,9.44%,pending,Suspicious purchase of $2848.28 at Campbell-Zamora
78,Teacher,High,Wealth Preservation,$93644.47,"0077 Galvan Valley
New Brentchester, AS 68378",$100000.00,$28891.55,$27012.25,$22989.19,$2226.29,$28736.74,$50000.00,Debt Consolidation,Retired,60,10.51%,approved,Purchase at Nelson LLC for $1012.00 on 2024-02-20
47,Student,High,Wealth Preservation,$133349.63,"889 Michael Row Apt. 224
Danielfurt, MI 24806",$100000.00,$46749.20,$22073.59,$21956.72,$4079.84,$8307.80,$50000.00,Auto Purchase,Self-Employed,24,10.85%,approved,Clothing transaction of $3195.23 at Perry Group
51,Doctor,Medium,Income Generation,$46506.07,"21836 Carl Spur
New Melissafurt, CA 76248",$82183.32,$9483.77,$5460.56,$5370.40,$855.06,$4868.20,$6279.17,Small Business,Retired,60,5.97%,approved,Purchase at Martinez-Greer for $4839.59 on 2024-06-28
20,Artist,Low,Wealth Preservation,$101260.98,"082 Hernandez Centers
Nelsonfort, AS 80224",$51514.69,$11401.05,$9422.11,$7553.56,$738.44,$3042.18,$50000.00,Debt Consolidation,Employed,48,13.68%,rejected,$4880.26 spent at Hodge Group on 2024-01-08
79,Engineer,High,Growth,$75041.73,"734 Robertson Vista
Jacquelinebury, FM 32139",$37374.73,$13996.57,$8079.23,$2121.95,$266.94,$11575.94,$50000.00,Debt Consolidation,Employed,36,10.82%,approved,"Purchase at Hernandez, Jimenez and Cox for $3164.41 on 2024-07-06"
36,Artist,High,Growth,$26639.08,"4959 Samantha Curve
Loweton, MI 71043",$34034.68,$11860.59,$6731.83,$6129.73,$703.41,$3001.75,$19068.32,Medical Expenses,Employed,60,11.23%,pending,Payment of $512.17 at Mcclure Inc
73,Student,High,Speculation,$102174.29,"Unit 1717 Box 8645
DPO AE 45766",$100000.00,$21542.43,$14298.33,$10109.61,$1051.05,$36079.72,$50000.00,Debt Consolidation,Employed,36,12.69%,pending,Payment of $2761.97 at Boyd-Henderson
80,Engineer,Low,Speculation,$88966.44,"2973 Jeffrey Mountains
Lake Abigail, PR 53593",$100000.00,$32412.54,$21854.96,$8028.58,$327.04,$9059.96,$50000.00,Home Improvement,Self-Employed,60,12.52%,pending,Payment of $975.72 at Thomas-Ortiz
77,Artist,Low,Speculation,$56158.12,"USCGC Smith
FPO AE 60879",$83956.07,$22285.04,$18220.84,$8895.95,$1760.81,$11392.27,$19353.25,Debt Consolidation,Employed,36,7.43%,approved,"Transaction at Castro, Hernandez and Bell for $1905.42"
62,Teacher,Low,Wealth Preservation,$36106.77,"97320 Harold Forges Suite 356
Huynhshire, MS 88212",$7815.48,$1152.54,$842.62,$1398.94,$120.04,$723.23,$29706.10,Debt Consolidation,Self-Employed,36,11.63%,rejected,Payment of $4984.69 at Walker PLC
46,Teacher,Medium,Wealth Preservation,$83857.45,"224 Kathy Track Apt. 821
Lake Rachel, IL 84450",$100000.00,$32124.33,$19635.64,$18033.15,$2711.47,$5494.53,$50000.00,Medical Expenses,Retired,36,13.85%,rejected,$1997.02 debited for Turner-Wallace purchase
72,Retiree,Medium,Growth,$58265.09,"84126 Downs Harbor
Trevorshire, UT 13948",$100000.00,$23834.43,$19669.91,$23971.59,$3889.38,$14739.44,$28066.80,Debt Consolidation,Self-Employed,48,7.95%,approved,Payment of $3717.39 at Mckinney-Rodriguez
58,Lawyer,Medium,Speculation,$51224.42,"62283 Palmer Summit Suite 210
New Gailmouth, NE 81949",$84470.49,$13666.14,$16461.67,$18726.68,$3545.39,$7665.90,$25437.01,Small Business,Retired,48,11.25%,pending,Fraudulent activity detected at Haynes-Perez for $4181.26
56,Student,High,Wealth Preservation,$-439.05,"4984 Allen Burg Suite 246
Howardmouth, NH 93047",$1000.00,$256.31,$110.96,$56.62,$4.99,$379.68,$5000.00,Home Improvement,Retired,12,7.83%,rejected,"Suspicious purchase of $2685.90 at Kennedy, Taylor and Hopkins"
70,Student,High,Wealth Preservation,$37356.39,"2792 Nancy Island Apt. 277
New Jesse, WV 68090",$55599.70,$20976.38,$16500.69,$4796.14,$867.51,$16574.85,$5000.00,Home Improvement,Employed,60,5.13%,approved,Purchase at Fleming Group for $1076.20 on 2024-02-19
68,Lawyer,Low,Growth,$84607.16,"8823 Thomas Mews Apt. 182
East Jacob, NY 11435",$12814.10,$5602.52,$3405.48,$1777.04,$307.83,$1654.46,$44306.91,Debt Consolidation,Employed,12,9.58%,approved,Payment of $3186.01 at Tapia PLC
43,Engineer,Medium,Wealth Preservation,$35000.17,"069 Martin Lodge Apt. 464
Reynoldsfurt, ND 71841",$57129.24,$26730.44,$7278.52,$7804.20,$2055.06,$4200.85,$23718.79,Medical Expenses,Unemployed,24,6.87%,approved,Payment of $3600.43 at Joseph Inc
65,Doctor,Medium,Growth,$117984.29,"2378 Anthony Causeway
Flowersmouth, UT 04787",$91483.35,$12249.61,$23999.62,$17333.61,$1635.74,$6963.26,$50000.00,Small Business,Self-Employed,48,11.05%,approved,"$2859.93 debited for Ramirez, Fleming and Freeman purchase"
40,Artist,Medium,Wealth Preservation,$47308.88,"22664 Rodriguez Inlet Suite 187
Sabrinashire, CO 60082",$41936.26,$11132.82,$2344.83,$5905.32,$130.55,$6193.57,$10354.92,Debt Consolidation,Unemployed,60,6.15%,approved,Transaction at Oliver-Schwartz for $4095.97
33,Retiree,High,Wealth Preservation,$28929.15,"79664 Angela Locks Suite 721
West Thomasbury, PW 97084",$21859.64,$9112.14,$5137.11,$3290.22,$350.18,$4714.16,$35443.68,Home Improvement,Employed,48,11.21%,rejected,"Clothing transaction of $722.07 at Ponce, Brennan and Evans"
39,Teacher,Low,Growth,$47521.21,"35984 Gonzalez Mountains
Wrightton, HI 31520",$74874.37,$21988.95,$7896.45,$17553.59,$4990.09,$13628.03,$50000.00,Small Business,Employed,12,11.33%,approved,"$3456.12 debited for Reyes, Ramos and Sanders purchase"
26,Doctor,Low,Wealth Preservation,$49508.15,"09553 Wang Lakes Apt. 922
South Peter, AZ 51708",$43337.56,$5496.36,$4197.66,$8929.55,$485.26,$5254.35,$17575.18,Small Business,Employed,48,6.54%,approved,Purchase at Daugherty-Mills for $2323.71 on 2024-01-21
20,Artist,Medium,Wealth Preservation,$100611.96,"PSC 5692, Box 7134
APO AA 76855",$35341.06,$9733.11,$7963.20,$4581.40,$614.78,$2353.19,$34401.16,Medical Expenses,Self-Employed,36,10.06%,pending,"Transaction at Davis, Adkins and Hart for $2522.30"
68,Retiree,High,Wealth Preservation,$44433.19,"39204 Willis Ranch Apt. 566
West Travis, GU 63099",$56087.12,$25299.46,$7079.00,$13243.48,$1274.95,$6650.24,$12727.62,Home Improvement,Retired,60,9.72%,rejected,"Purchase at Bell, Baker and Barnes for $4914.57 on 2024-07-12"
84,Lawyer,Low,Wealth Preservation,$46280.25,"9979 Zhang Wells
Lake Timothytown, MS 47971",$33034.11,$11943.24,$7759.27,$1959.76,$149.86,$5604.79,$34653.75,Medical Expenses,Self-Employed,24,11.17%,rejected,"Transaction at Bullock, Ward and Taylor for $1649.88"
75,Teacher,Medium,Growth,$113857.61,"52354 Samantha Camp Apt. 633
Lake Anthonyshire, CO 83763",$56056.92,$20005.37,$8496.76,$10082.98,$2645.82,$4029.98,$50000.00,Home Improvement,Self-Employed,36,12.25%,pending,$1585.14 debited for Jackson-Rivas purchase
30,Doctor,Low,Income Generation,$71318.99,"697 Sanchez Field Suite 066
Portermouth, MD 74541",$88205.33,$9456.22,$13565.57,$14601.68,$4054.27,$5803.11,$50000.00,Auto Purchase,Unemployed,12,14.22%,pending,$4297.02 debited for Stone PLC purchase
45,Student,High,Income Generation,$47571.33,"09791 Dustin Drive
Port Ashley, NJ 49505",$51342.55,$18750.53,$8331.90,$6376.45,$1340.65,$18704.70,$12356.93,Debt Consolidation,Self-Employed,60,6.67%,approved,$1665.70 spent at Gallagher Inc on 2024-04-07
76,Lawyer,Medium,Wealth Preservation,$98289.69,"32011 Joshua Mount Apt. 849
South Helenland, IN 11909",$100000.00,$28274.16,$11632.21,$18566.41,$759.72,$8259.68,$50000.00,Small Business,Unemployed,60,11.04%,approved,"$2957.53 debited for Andrews, Henry and Rivas purchase"
74,Artist,High,Income Generation,$61115.64,"2438 Andres Extensions
Hernandezmouth, NM 76096",$31499.82,$9548.98,$5196.71,$5453.12,$40.96,$5507.88,$50000.00,Home Improvement,Employed,48,13.56%,pending,Large amount of $1372.54 spent at Clark-Ellison
75,Lawyer,High,Growth,$16946.46,"PSC 7831, Box 3246
APO AE 60131",$15943.97,$3983.69,$3266.16,$1957.47,$353.34,$4409.99,$19408.02,Small Business,Retired,12,8.24%,approved,"$299.51 spent at Ingram, King and Edwards on 2024-08-01"
45,Retiree,High,Growth,$34432.19,"7368 Acosta Mall Apt. 609
Solomonchester, MO 24985",$67652.50,$17134.12,$14642.60,$3399.29,$893.68,$9410.32,$15005.78,Medical Expenses,Unemployed,48,10.74%,pending,"$4671.07 spent at Mcclain, Mcdaniel and Brown on 2024-02-15"
35,Doctor,Medium,Income Generation,$88432.12,"729 Weaver Spurs Apt. 621
Port Kathleen, PA 55448",$100000.00,$11240.96,$8423.86,$7914.14,$199.76,$11164.82,$50000.00,Medical Expenses,Self-Employed,48,14.06%,rejected,"Payment of $2678.44 at Molina, Baker and Hunt"
29,Artist,Medium,Speculation,$112536.09,"60643 Pineda Radial Apt. 699
Amberton, TN 88525",$100000.00,$45945.04,$9874.44,$19270.78,$5358.93,$17414.20,$50000.00,Medical Expenses,Self-Employed,48,11.13%,approved,Transaction at Villarreal-Bailey for $510.09
48,Artist,High,Growth,$26626.67,"619 Smith Rapid
Port Nancyberg, NE 47279",$44878.66,$5680.68,$11295.26,$6002.46,$1474.85,$12939.16,$5000.00,Debt Consolidation,Employed,48,7.64%,rejected,Large amount of $594.58 spent at Gibson-Frye
74,Engineer,High,Income Generation,$86298.72,"4266 Trevor Courts
Williamston, TX 89272",$100000.00,$18180.18,$23317.83,$21968.28,$227.94,$21548.41,$32539.36,Small Business,Retired,36,8.41%,approved,Payment of $4904.39 at Johnson-Mack
41,Engineer,High,Speculation,$31822.68,"59147 Anthony Ramp
New Chadton, PA 08046",$27394.55,$7914.33,$1390.73,$4391.57,$305.19,$6211.66,$41451.71,Auto Purchase,Unemployed,36,9.15%,approved,"$2678.78 spent at Lyons, Wiley and Williams on 2024-02-13"
44,Doctor,Low,Wealth Preservation,$79297.23,"718 Joan Wells Apt. 043
Port Kellyshire, NC 91049",$100000.00,$47134.04,$20936.83,$5996.14,$1657.09,$16762.83,$50000.00,Debt Consolidation,Unemployed,48,11.67%,pending,Purchase at Davis and Sons for $2202.99 on 2024-07-08
32,Doctor,High,Growth,$66116.73,"5036 Burns Mills Apt. 297
Reginaldhaven, MT 75956",$100000.00,$10135.15,$24467.96,$9850.77,$1589.57,$21179.75,$50000.00,Auto Purchase,Self-Employed,12,11.84%,rejected,Transaction at Stewart Group for $436.26
